Name;Web of Science Documents;Category Normalized Citation Impact;Times Cited;Highly Cited Papers;Publication Year
5.01 Psychology;10;0,64;260;0;1992
5.01 Psychology;15;0,40;195;0;1993
5.01 Psychology;15;0,80;597;0;1994
5.01 Psychology;12;0,85;408;0;1995
5.01 Psychology;9;0,48;175;0;1996
5.01 Psychology;12;0,86;435;0;1997
5.01 Psychology;17;0,40;285;0;1998
5.01 Psychology;25;0,42;482;0;1999
5.01 Psychology;33;0,86;1378;0;2000
5.01 Psychology;25;0,52;641;0;2001
5.01 Psychology;31;0,37;568;0;2002
5.01 Psychology;39;1,08;2271;0;2003
5.01 Psychology;37;0,86;1474;0;2004
5.01 Psychology;79;0,61;1906;0;2005
5.01 Psychology;67;0,58;1556;0;2006
5.01 Psychology;70;0,60;1555;0;2007
5.01 Psychology;91;0,54;1606;0;2008
5.01 Psychology;122;0,68;2546;1;2009
5.01 Psychology;132;0,72;2429;0;2010
5.01 Psychology;148;0,79;2654;0;2011
5.01 Psychology;155;0,77;2469;1;2012
5.01 Psychology;165;0,79;2297;1;2013
5.01 Psychology;142;0,80;1514;1;2014
5.01 Psychology;147;0,69;1027;0;2015
5.01 Psychology;150;0,84;923;1;2016
5.01 Psychology;181;0,87;695;0;2017
5.01 Psychology;155;0,81;287;1;2018
5.01 Psychology;183;0,81;86;0;2019
5.02 Economics and business;1;0,19;4;0;1983
5.02 Economics and business;1;0,56;13;0;1985
5.02 Economics and business;1;0,04;1;0;1987
5.02 Economics and business;1;0,04;1;0;1988
5.02 Economics and business;2;0,07;8;0;1991
5.02 Economics and business;5;0,48;87;0;1995
5.02 Economics and business;1;2,58;89;0;1996
5.02 Economics and business;4;0,22;32;0;1997
5.02 Economics and business;4;3,34;474;0;1998
5.02 Economics and business;6;0,64;142;0;1999
5.02 Economics and business;2;2,70;219;0;2000
5.02 Economics and business;4;1,90;317;0;2001
5.02 Economics and business;8;0,42;146;0;2002
5.02 Economics and business;12;2,22;1105;0;2003
5.02 Economics and business;10;2,13;914;0;2004
5.02 Economics and business;23;1,07;755;0;2005
5.02 Economics and business;30;0,68;549;0;2006
5.02 Economics and business;33;2,22;1971;0;2007
5.02 Economics and business;48;1,12;1440;0;2008
5.02 Economics and business;64;1,33;1891;2;2009
5.02 Economics and business;72;0,73;999;0;2010
5.02 Economics and business;80;0,88;1089;0;2011
5.02 Economics and business;111;1,33;1981;0;2012
5.02 Economics and business;111;1,41;1799;3;2013
5.02 Economics and business;96;1,27;1134;1;2014
5.02 Economics and business;92;1,60;1175;0;2015
5.02 Economics and business;107;1,55;903;1;2016
5.02 Economics and business;125;1,62;723;3;2017
5.02 Economics and business;110;2,64;530;4;2018
5.02 Economics and business;92;3,13;142;3;2019
5.03 Educational sciences;2;0,00;0;0;1986
5.03 Educational sciences;2;0,42;10;0;1989
5.03 Educational sciences;1;1,94;26;0;1990
5.03 Educational sciences;1;0,07;1;0;1991
5.03 Educational sciences;2;2,36;68;0;1994
5.03 Educational sciences;2;1,28;42;0;1996
5.03 Educational sciences;2;0,61;22;0;1998
5.03 Educational sciences;3;0,76;44;0;1999
5.03 Educational sciences;3;0,58;43;0;2000
5.03 Educational sciences;2;0,09;5;0;2002
5.03 Educational sciences;2;0,35;18;0;2003
5.03 Educational sciences;2;0,11;6;0;2004
5.03 Educational sciences;32;0,12;61;0;2005
5.03 Educational sciences;32;0,32;172;0;2006
5.03 Educational sciences;56;0,55;432;0;2007
5.03 Educational sciences;72;0,31;305;0;2008
5.03 Educational sciences;72;0,49;441;0;2009
5.03 Educational sciences;114;0,24;312;0;2010
5.03 Educational sciences;111;0,62;645;0;2011
5.03 Educational sciences;107;0,47;427;0;2012
5.03 Educational sciences;138;0,73;705;0;2013
5.03 Educational sciences;131;0,40;308;0;2014
5.03 Educational sciences;138;0,62;374;0;2015
5.03 Educational sciences;130;0,84;327;0;2016
5.03 Educational sciences;166;0,50;155;0;2017
5.03 Educational sciences;155;0,77;121;0;2018
5.03 Educational sciences;144;0,96;39;0;2019
5.04 Sociology;1;0,28;6;0;1988
5.04 Sociology;2;0,14;8;0;1991
5.04 Sociology;1;0,09;2;0;1992
5.04 Sociology;1;0,23;5;0;1993
5.04 Sociology;2;0,82;36;0;1994
5.04 Sociology;2;2,14;89;0;1995
5.04 Sociology;1;0,02;1;0;1996
5.04 Sociology;3;1,28;98;0;1997
5.04 Sociology;2;0,57;30;0;1998
5.04 Sociology;2;0,40;25;0;1999
5.04 Sociology;5;1,27;188;0;2000
5.04 Sociology;1;0,03;1;0;2001
5.04 Sociology;2;0,48;29;0;2002
5.04 Sociology;2;3,71;207;0;2004
5.04 Sociology;12;0,08;21;0;2005
5.04 Sociology;16;1,15;359;0;2006
5.04 Sociology;19;0,55;182;0;2007
5.04 Sociology;33;1,03;501;0;2008
5.04 Sociology;38;0,34;180;0;2009
5.04 Sociology;43;0,67;374;0;2010
5.04 Sociology;38;0,63;260;0;2011
5.04 Sociology;51;0,70;338;0;2012
5.04 Sociology;51;1,07;426;1;2013
5.04 Sociology;53;0,52;176;0;2014
5.04 Sociology;59;0,91;263;0;2015
5.04 Sociology;54;0,74;132;0;2016
5.04 Sociology;68;1,16;157;0;2017
5.04 Sociology;74;0,69;57;0;2018
5.04 Sociology;60;2,69;59;1;2019
5.05 Law;2;0,48;13;0;1992
5.05 Law;1;0,09;1;0;1993
5.05 Law;1;0,29;4;0;1998
5.05 Law;1;0,06;1;0;2002
5.05 Law;1;1,02;16;0;2003
5.05 Law;1;9,80;139;0;2004
5.05 Law;12;0,10;11;0;2005
5.05 Law;15;0,06;9;0;2006
5.05 Law;10;0,13;10;0;2007
5.05 Law;10;0,60;43;0;2008
5.05 Law;10;0,43;27;0;2009
5.05 Law;10;0,49;32;0;2010
5.05 Law;14;0,21;16;0;2011
5.05 Law;14;0,76;49;0;2012
5.05 Law;19;0,53;40;0;2013
5.05 Law;23;0,90;70;0;2014
5.05 Law;22;0,69;41;0;2015
5.05 Law;40;0,32;25;0;2016
5.05 Law;30;0,68;24;0;2017
5.05 Law;29;0,71;16;0;2018
5.05 Law;27;0,27;2;0;2019
5.06 Political science;1;0,00;0;0;1981
5.06 Political science;1;0,00;0;0;1985
5.06 Political science;1;0,00;0;0;1986
5.06 Political science;2;0,09;2;0;1993
5.06 Political science;1;0,89;11;0;1996
5.06 Political science;1;1,02;15;0;1997
5.06 Political science;1;0,44;7;0;1999
5.06 Political science;1;0,76;14;0;2004
5.06 Political science;9;0,31;38;0;2005
5.06 Political science;13;0,45;74;0;2006
5.06 Political science;14;1,23;175;0;2007
5.06 Political science;18;0,43;73;0;2008
5.06 Political science;29;0,88;202;0;2009
5.06 Political science;20;0,74;121;0;2010
5.06 Political science;26;0,50;88;0;2011
5.06 Political science;20;0,61;77;0;2012
5.06 Political science;34;0,76;146;0;2013
5.06 Political science;32;0,67;100;0;2014
5.06 Political science;42;1,04;160;0;2015
5.06 Political science;37;1,48;206;1;2016
5.06 Political science;45;0,68;55;0;2017
5.06 Political science;34;0,44;15;0;2018
5.06 Political science;15;0,88;5;0;2019
5.07 Social and economic geography;1;3,62;25;0;1983
5.07 Social and economic geography;1;1,36;25;0;1995
5.07 Social and economic geography;1;0,03;1;0;2001
5.07 Social and economic geography;2;0,31;20;0;2002
5.07 Social and economic geography;3;0,64;60;0;2003
5.07 Social and economic geography;2;0,81;52;0;2004
5.07 Social and economic geography;16;0,23;91;0;2005
5.07 Social and economic geography;15;0,10;34;0;2006
5.07 Social and economic geography;17;0,30;96;0;2007
5.07 Social and economic geography;19;0,38;196;0;2008
5.07 Social and economic geography;22;0,57;190;0;2009
5.07 Social and economic geography;27;0,85;373;1;2010
5.07 Social and economic geography;33;1,20;570;1;2011
5.07 Social and economic geography;32;1,84;733;1;2012
5.07 Social and economic geography;40;1,55;734;2;2013
5.07 Social and economic geography;42;1,30;529;0;2014
5.07 Social and economic geography;45;1,38;486;0;2015
5.07 Social and economic geography;69;1,33;488;0;2016
5.07 Social and economic geography;78;0,89;225;0;2017
5.07 Social and economic geography;91;1,38;224;1;2018
5.07 Social and economic geography;92;0,99;49;0;2019
5.08 Media and communication;1;0,00;0;0;1989
5.08 Media and communication;1;0,85;10;0;1994
5.08 Media and communication;2;0,44;14;0;1995
5.08 Media and communication;1;0,41;7;0;1996
5.08 Media and communication;1;0,87;15;0;1997
5.08 Media and communication;2;0,44;16;0;1998
5.08 Media and communication;8;0,82;139;0;1999
5.08 Media and communication;5;0,87;108;0;2001
5.08 Media and communication;5;0,96;129;0;2002
5.08 Media and communication;11;0,69;281;0;2003
5.08 Media and communication;9;0,68;174;0;2004
5.08 Media and communication;12;0,81;187;0;2005
5.08 Media and communication;23;0,80;322;0;2006
5.08 Media and communication;30;1,22;604;0;2007
5.08 Media and communication;37;0,79;408;0;2008
5.08 Media and communication;44;0,92;758;1;2009
5.08 Media and communication;54;1,00;684;0;2010
5.08 Media and communication;47;1,13;730;1;2011
5.08 Media and communication;45;1,28;575;0;2012
5.08 Media and communication;46;1,43;517;0;2013
5.08 Media and communication;54;1,64;603;1;2014
5.08 Media and communication;57;1,48;460;0;2015
5.08 Media and communication;39;1,41;224;0;2016
5.08 Media and communication;46;2,09;236;1;2017
5.08 Media and communication;67;1,79;173;1;2018
5.08 Media and communication;41;0,38;6;0;2019
5.09 Other social sciences;1;0,00;0;0;1987
5.09 Other social sciences;1;0,00;0;0;1989
5.09 Other social sciences;1;5,32;89;0;1996
5.09 Other social sciences;1;0,17;3;0;1997
5.09 Other social sciences;1;0,09;2;0;2001
5.09 Other social sciences;1;0,94;23;0;2003
5.09 Other social sciences;4;0,50;50;0;2004
5.09 Other social sciences;5;0,17;14;0;2005
5.09 Other social sciences;10;0,49;73;0;2006
5.09 Other social sciences;11;0,85;134;0;2007
5.09 Other social sciences;14;0,52;164;0;2008
5.09 Other social sciences;11;0,14;17;0;2009
5.09 Other social sciences;23;0,86;203;0;2010
5.09 Other social sciences;31;1,34;347;0;2011
5.09 Other social sciences;65;0,56;296;0;2012
5.09 Other social sciences;66;1,07;450;0;2013
5.09 Other social sciences;82;0,64;268;0;2014
5.09 Other social sciences;71;0,66;212;0;2015
5.09 Other social sciences;72;1,21;271;0;2016
5.09 Other social sciences;79;1,09;148;0;2017
5.09 Other social sciences;103;1,41;152;1;2018
5.09 Other social sciences;74;2,34;63;1;2019
6 HUMANITIES;3;0,10;1;0;1981
6 HUMANITIES;2;0,00;0;0;1982
6 HUMANITIES;4;0,08;1;0;1983
6 HUMANITIES;6;0,10;2;0;1984
6 HUMANITIES;8;0,18;5;0;1985
6 HUMANITIES;9;0,06;2;0;1986
6 HUMANITIES;6;0,10;2;0;1987
6 HUMANITIES;7;0,66;16;0;1988
6 HUMANITIES;7;0,00;0;0;1989
6 HUMANITIES;6;1,21;29;0;1990
6 HUMANITIES;7;0,00;0;0;1991
6 HUMANITIES;12;0,17;8;0;1992
6 HUMANITIES;6;0,04;1;0;1993
6 HUMANITIES;7;0,23;7;0;1994
6 HUMANITIES;11;1,00;18;0;1995
6 HUMANITIES;10;0,09;4;0;1996
6 HUMANITIES;13;1,84;108;0;1997
6 HUMANITIES;9;0,10;4;0;1998
6 HUMANITIES;9;0,32;14;0;1999
6 HUMANITIES;17;1,32;111;0;2000
6 HUMANITIES;11;0,46;26;0;2001
6 HUMANITIES;28;1,61;237;0;2002
6 HUMANITIES;18;1,13;115;0;2003
6 HUMANITIES;19;0,97;98;0;2004
6 HUMANITIES;74;0,49;150;0;2005
6 HUMANITIES;74;0,64;196;0;2006
6 HUMANITIES;110;1,11;466;0;2007
6 HUMANITIES;102;0,98;382;0;2008
6 HUMANITIES;139;0,56;292;0;2009
6 HUMANITIES;147;0,69;334;0;2010
6 HUMANITIES;177;0,78;393;0;2011
6 HUMANITIES;222;0,95;497;0;2012
6 HUMANITIES;216;0,66;310;0;2013
6 HUMANITIES;231;0,73;295;0;2014
6 HUMANITIES;249;0,86;291;0;2015
6 HUMANITIES;278;1,05;273;0;2016
6 HUMANITIES;284;0,97;161;0;2017
6 HUMANITIES;279;0,74;70;0;2018
6 HUMANITIES;182;1,07;26;0;2019
6.01 History and archaeology;2;0,11;1;0;1983
6.01 History and archaeology;1;0,20;1;0;1985
6.01 History and archaeology;1;0,18;1;0;1986
6.01 History and archaeology;3;1,02;16;0;1988
6.01 History and archaeology;1;0,00;0;0;1989
6.01 History and archaeology;3;1,76;28;0;1990
6.01 History and archaeology;3;0,36;6;0;1992
6.01 History and archaeology;2;0,52;6;0;1994
6.01 History and archaeology;4;1,26;15;0;1995
6.01 History and archaeology;3;0,24;4;0;1996
6.01 History and archaeology;3;4,38;74;0;1997
6.01 History and archaeology;3;0,13;2;0;1998
6.01 History and archaeology;1;0,00;0;0;1999
6.01 History and archaeology;2;1,36;17;0;2000
6.01 History and archaeology;1;0,59;4;0;2001
6.01 History and archaeology;9;1,87;115;0;2002
6.01 History and archaeology;7;2,09;101;0;2003
6.01 History and archaeology;6;2,54;92;0;2004
6.01 History and archaeology;13;0,67;41;0;2005
6.01 History and archaeology;19;0,96;81;0;2006
6.01 History and archaeology;21;0,67;59;0;2007
6.01 History and archaeology;30;1,35;155;0;2008
6.01 History and archaeology;31;1,12;136;0;2009
6.01 History and archaeology;39;0,85;113;0;2010
6.01 History and archaeology;45;1,12;155;0;2011
6.01 History and archaeology;44;0,83;92;0;2012
6.01 History and archaeology;57;1,05;146;0;2013
6.01 History and archaeology;66;0,83;108;0;2014
6.01 History and archaeology;61;1,44;127;0;2015
6.01 History and archaeology;71;1,48;113;0;2016
6.01 History and archaeology;84;1,06;55;0;2017
6.01 History and archaeology;84;1,17;39;0;2018
6.01 History and archaeology;48;1,29;9;0;2019
6.02 Languages and literature;3;0,08;1;0;1981
6.02 Languages and literature;2;0,00;0;0;1982
6.02 Languages and literature;2;0,00;0;0;1983
6.02 Languages and literature;5;0,10;2;0;1984
6.02 Languages and literature;4;0,19;3;0;1985
6.02 Languages and literature;6;0,04;1;0;1986
6.02 Languages and literature;2;0,13;1;0;1987
6.02 Languages and literature;3;0,00;0;0;1988
6.02 Languages and literature;3;0,00;0;0;1989
6.02 Languages and literature;2;0,00;0;0;1990
6.02 Languages and literature;5;0,00;0;0;1991
6.02 Languages and literature;5;0,04;1;0;1992
6.02 Languages and literature;2;0,10;1;0;1993
6.02 Languages and literature;2;0,19;2;0;1995
6.02 Languages and literature;3;0,00;0;0;1996
6.02 Languages and literature;6;0,00;0;0;1997
6.02 Languages and literature;5;0,07;2;0;1998
6.02 Languages and literature;6;0,39;14;0;1999
6.02 Languages and literature;12;1,27;93;0;2000
6.02 Languages and literature;9;0,37;21;0;2001
6.02 Languages and literature;10;1,66;100;0;2002
6.02 Languages and literature;5;0,43;14;0;2003
6.02 Languages and literature;7;0,09;4;0;2004
6.02 Languages and literature;36;0,56;97;0;2005
6.02 Languages and literature;29;0,59;83;0;2006
6.02 Languages and literature;48;0,75;161;0;2007
6.02 Languages and literature;39;0,44;77;0;2008
6.02 Languages and literature;58;0,52;117;0;2009
6.02 Languages and literature;61;0,72;161;0;2010
6.02 Languages and literature;60;0,93;175;0;2011
6.02 Languages and literature;97;0,93;231;0;2012
6.02 Languages and literature;82;0,42;81;0;2013
6.02 Languages and literature;69;1,04;137;0;2014
6.02 Languages and literature;80;0,64;76;0;2015
6.02 Languages and literature;84;1,05;86;0;2016
6.02 Languages and literature;87;0,95;52;0;2017
6.02 Languages and literature;90;0,65;21;0;2018
6.02 Languages and literature;64;0,72;6;0;2019
6.03 Philosophy, ethics and religion;2;0,10;1;0;1985
6.03 Philosophy, ethics and religion;1;0,00;0;0;1986
6.03 Philosophy, ethics and religion;2;0,11;1;0;1987
6.03 Philosophy, ethics and religion;1;0,00;0;0;1988
6.03 Philosophy, ethics and religion;2;0,00;0;0;1989
6.03 Philosophy, ethics and religion;1;0,00;0;0;1991
6.03 Philosophy, ethics and religion;4;0,17;4;0;1992
6.03 Philosophy, ethics and religion;1;0,00;0;0;1993
6.03 Philosophy, ethics and religion;3;0,05;1;0;1994
6.03 Philosophy, ethics and religion;5;0,30;9;0;1995
6.03 Philosophy, ethics and religion;5;0,07;2;0;1996
6.03 Philosophy, ethics and religion;1;0,00;0;0;1997
6.03 Philosophy, ethics and religion;1;0,00;0;0;2000
6.03 Philosophy, ethics and religion;2;0,12;2;0;2002
6.03 Philosophy, ethics and religion;3;0,04;1;0;2003
6.03 Philosophy, ethics and religion;2;0,14;2;0;2004
6.03 Philosophy, ethics and religion;14;0,15;11;0;2005
6.03 Philosophy, ethics and religion;12;0,45;29;0;2006
6.03 Philosophy, ethics and religion;20;2,41;224;0;2007
6.03 Philosophy, ethics and religion;16;2,03;147;0;2008
6.03 Philosophy, ethics and religion;29;0,14;19;0;2009
6.03 Philosophy, ethics and religion;17;0,54;37;0;2010
6.03 Philosophy, ethics and religion;20;0,33;22;0;2011
6.03 Philosophy, ethics and religion;38;1,26;136;0;2012
6.03 Philosophy, ethics and religion;28;0,99;67;0;2013
6.03 Philosophy, ethics and religion;29;0,24;14;0;2014
6.03 Philosophy, ethics and religion;31;1,08;55;0;2015
6.03 Philosophy, ethics and religion;37;1,34;54;0;2016
6.03 Philosophy, ethics and religion;35;1,04;26;0;2017
6.03 Philosophy, ethics and religion;25;0,18;2;0;2018
6.03 Philosophy, ethics and religion;21;2,22;9;0;2019
6.04 Art;1;0,00;0;0;1984
6.04 Art;1;0,00;0;0;1987
6.04 Art;1;0,00;0;0;1989
6.04 Art;1;0,86;1;0;1992
6.04 Art;2;2,19;6;0;1994
6.04 Art;1;0,00;0;0;1995
6.04 Art;1;0,00;0;0;1997
6.04 Art;1;0,00;0;0;1998
6.04 Art;2;0,00;0;0;1999
6.04 Art;3;3,72;18;0;2000
6.04 Art;2;1,52;5;0;2001
6.04 Art;2;28,47;102;0;2002
6.04 Art;4;13,59;97;0;2003
6.04 Art;1;10,23;19;0;2004
6.04 Art;7;0,17;2;0;2005
6.04 Art;4;3,77;26;0;2006
6.04 Art;9;0,67;11;0;2007
6.04 Art;11;3,73;81;0;2008
6.04 Art;9;0,78;13;0;2009
6.04 Art;13;1,58;37;0;2010
6.04 Art;18;1,28;36;0;2011
6.04 Art;19;1,35;36;0;2012
6.04 Art;36;1,39;55;0;2013
6.04 Art;49;0,87;41;0;2014
6.04 Art;35;1,44;39;0;2015
6.04 Art;38;0,39;8;0;2016
6.04 Art;52;2,65;49;0;2017
6.04 Art;34;1,85;12;0;2018
6.04 Art;33;1,26;4;0;2019
6.05 Other Humanities;1;0,00;0;0;1985
6.05 Other Humanities;2;0,00;0;0;1986
6.05 Other Humanities;1;0,00;0;0;1987
6.05 Other Humanities;1;0,50;1;0;1990
6.05 Other Humanities;1;0,00;0;0;1991
6.05 Other Humanities;1;0,00;0;0;1992
6.05 Other Humanities;3;0,00;0;0;1993
6.05 Other Humanities;1;0,00;0;0;1994
6.05 Other Humanities;1;0,00;0;0;1995
6.05 Other Humanities;3;4,89;34;0;1997
6.05 Other Humanities;8;1,06;19;0;2002
6.05 Other Humanities;3;0,00;0;0;2003
6.05 Other Humanities;4;0,00;0;0;2004
6.05 Other Humanities;6;0,34;5;0;2005
6.05 Other Humanities;13;0,35;10;0;2006
6.05 Other Humanities;14;0,66;15;0;2007
6.05 Other Humanities;11;0,23;5;0;2008
6.05 Other Humanities;17;0,32;11;0;2009
6.05 Other Humanities;21;0,18;7;0;2010
6.05 Other Humanities;37;0,15;9;0;2011
6.05 Other Humanities;29;0,19;8;0;2012
6.05 Other Humanities;29;0,29;11;0;2013
6.05 Other Humanities;34;0,44;15;0;2014
6.05 Other Humanities;47;0,30;12;0;2015
6.05 Other Humanities;60;0,40;14;0;2016
6.05 Other Humanities;41;0,47;7;0;2017
6.05 Other Humanities;54;0,10;1;0;2018
6.05 Other Humanities;24;0,00;0;0;2019
;;;;;
Filter Summary:;;;;;
Dataset: InCites Dataset + ESCI;;;;;
Schema:  OECD;;;;;
Document Type:  [Article, Review, Letter, Note];;;;;
Organization Name:  [University of Granada];;;;;
;;;;;
Exported date  2020-01-22. ;;;;;
InCites dataset updated  Jan 3, 2020. Includes Web of Science content indexed through Nov 30, 2019;;;;;
