Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Ávila;Total;Nacidos en la UE27_2020;44
Ávila;Total;Nacidos en el resto de Europa;5
Ávila;Total;Nacidos en África;75
Ávila;Total;Nacidos en América;150
Ávila;Total;Nacidos en Asia;30
Ávila;Total;Nacidos en Oceanía;2
Ávila;Españoles;Total;118
Ávila;Españoles;Nacidos en España;78
Ávila;Españoles;Nacidos en la UE27_2020;3
Ávila;Españoles;Nacidos en el resto de Europa;0
Ávila;Españoles;Nacidos en África;17
Ávila;Españoles;Nacidos en América;20
Ávila;Españoles;Nacidos en Asia;0
Ávila;Españoles;Nacidos en Oceanía;0
Ávila;Extranjeros;Total;282
Ávila;Extranjeros;Nacidos en España;16
Ávila;Extranjeros;Nacidos en la UE27_2020;41
Ávila;Extranjeros;Nacidos en el resto de Europa;5
Ávila;Extranjeros;Nacidos en África;58
Ávila;Extranjeros;Nacidos en América;130
Ávila;Extranjeros;Nacidos en Asia;30
Ávila;Extranjeros;Nacidos en Oceanía;2
Burgos;Total;Total;1.349
Burgos;Total;Nacidos en España;269
Burgos;Total;Nacidos en la UE27_2020;543
Burgos;Total;Nacidos en el resto de Europa;40
Burgos;Total;Nacidos en África;132
Burgos;Total;Nacidos en América;316
Burgos;Total;Nacidos en Asia;46
Burgos;Total;Nacidos en Oceanía;3
Burgos;Españoles;Total;328
Burgos;Españoles;Nacidos en España;210
Burgos;Españoles;Nacidos en la UE27_2020;7
Burgos;Españoles;Nacidos en el resto de Europa;1
Burgos;Españoles;Nacidos en África;31
Burgos;Españoles;Nacidos en América;69
Burgos;Españoles;Nacidos en Asia;10
Burgos;Españoles;Nacidos en Oceanía;0
Burgos;Extranjeros;Total;1.021
Burgos;Extranjeros;Nacidos en España;59
Burgos;Extranjeros;Nacidos en la UE27_2020;536
Burgos;Extranjeros;Nacidos en el resto de Europa;39
Burgos;Extranjeros;Nacidos en África;101
Burgos;Extranjeros;Nacidos en América;247
Burgos;Extranjeros;Nacidos en Asia;36
Burgos;Extranjeros;Nacidos en Oceanía;3
León;Total;Total;873
León;Total;Nacidos en España;273
León;Total;Nacidos en la UE27_2020;101
León;Total;Nacidos en el resto de Europa;39
León;Total;Nacidos en África;94
León;Total;Nacidos en América;296
León;Total;Nacidos en Asia;69
León;Total;Nacidos en Oceanía;1
León;Españoles;Total;381
León;Españoles;Nacidos en España;262
León;Españoles;Nacidos en la UE27_2020;8
León;Españoles;Nacidos en el resto de Europa;7
León;Españoles;Nacidos en África;14
León;Españoles;Nacidos en América;77
León;Españoles;Nacidos en Asia;13
León;Españoles;Nacidos en Oceanía;0
León;Extranjeros;Total;492
León;Extranjeros;Nacidos en España;11
León;Extranjeros;Nacidos en la UE27_2020;93
León;Extranjeros;Nacidos en el resto de Europa;32
León;Extranjeros;Nacidos en África;80
León;Extranjeros;Nacidos en América;219
León;Extranjeros;Nacidos en Asia;56
León;Extranjeros;Nacidos en Oceanía;1
Palencia;Total;Total;321
Palencia;Total;Nacidos en España;69
Palencia;Total;Nacidos en la UE27_2020;50
Palencia;Total;Nacidos en el resto de Europa;3
Palencia;Total;Nacidos en África;42
Palencia;Total;Nacidos en América;140
Palencia;Total;Nacidos en Asia;16
Palencia;Total;Nacidos en Oceanía;1
Palencia;Españoles;Total;80
Palencia;Españoles;Nacidos en España;61
Palencia;Españoles;Nacidos en la UE27_2020;1
Palencia;Españoles;Nacidos en el resto de Europa;0
Palencia;Españoles;Nacidos en África;6
Palencia;Españoles;Nacidos en América;12
Palencia;Españoles;Nacidos en Asia;0
Palencia;Españoles;Nacidos en Oceanía;0
Palencia;Extranjeros;Total;241
Palencia;Extranjeros;Nacidos en España;8
Palencia;Extranjeros;Nacidos en la UE27_2020;49
Palencia;Extranjeros;Nacidos en el resto de Europa;3
Palencia;Extranjeros;Nacidos en África;36
Palencia;Extranjeros;Nacidos en América;128
Palencia;Extranjeros;Nacidos en Asia;16
Palencia;Extranjeros;Nacidos en Oceanía;1
Salamanca;Total;Total;1.243
Salamanca;Total;Nacidos en España;170
Salamanca;Total;Nacidos en la UE27_2020;249
Salamanca;Total;Nacidos en el resto de Europa;32
Salamanca;Total;Nacidos en África;146
Salamanca;Total;Nacidos en América;535
Salamanca;Total;Nacidos en Asia;110
Salamanca;Total;Nacidos en Oceanía;1
Salamanca;Españoles;Total;214
Salamanca;Españoles;Nacidos en España;150
Salamanca;Españoles;Nacidos en la UE27_2020;10
Salamanca;Españoles;Nacidos en el resto de Europa;4
Salamanca;Españoles;Nacidos en África;11
Salamanca;Españoles;Nacidos en América;37
Salamanca;Españoles;Nacidos en Asia;2
Salamanca;Españoles;Nacidos en Oceanía;0
Salamanca;Extranjeros;Total;1.029
Salamanca;Extranjeros;Nacidos en España;20
Salamanca;Extranjeros;Nacidos en la UE27_2020;239
Salamanca;Extranjeros;Nacidos en el resto de Europa;28
Salamanca;Extranjeros;Nacidos en África;135
Salamanca;Extranjeros;Nacidos en América;498
Salamanca;Extranjeros;Nacidos en Asia;108
Salamanca;Extranjeros;Nacidos en Oceanía;1
Segovia;Total;Total;845
Segovia;Total;Nacidos en España;149
Segovia;Total;Nacidos en la UE27_2020;424
Segovia;Total;Nacidos en el resto de Europa;37
Segovia;Total;Nacidos en África;74
Segovia;Total;Nacidos en América;144
Segovia;Total;Nacidos en Asia;16
Segovia;Total;Nacidos en Oceanía;1
Segovia;Españoles;Total;152
Segovia;Españoles;Nacidos en España;102
Segovia;Españoles;Nacidos en la UE27_2020;0
Segovia;Españoles;Nacidos en el resto de Europa;4
Segovia;Españoles;Nacidos en África;17
Segovia;Españoles;Nacidos en América;29
Segovia;Españoles;Nacidos en Asia;0
Segovia;Españoles;Nacidos en Oceanía;0
Segovia;Extranjeros;Total;693
Segovia;Extranjeros;Nacidos en España;47
Segovia;Extranjeros;Nacidos en la UE27_2020;424
Segovia;Extranjeros;Nacidos en el resto de Europa;33
Segovia;Extranjeros;Nacidos en África;57
Segovia;Extranjeros;Nacidos en América;115
Segovia;Extranjeros;Nacidos en Asia;16
Segovia;Extranjeros;Nacidos en Oceanía;1
Soria;Total;Total;389
Soria;Total;Nacidos en España;65
Soria;Total;Nacidos en la UE27_2020;148
Soria;Total;Nacidos en el resto de Europa;17
Soria;Total;Nacidos en África;51
Soria;Total;Nacidos en América;89
Soria;Total;Nacidos en Asia;19
Soria;Total;Nacidos en Oceanía;0
Soria;Españoles;Total;95
Soria;Españoles;Nacidos en España;53
Soria;Españoles;Nacidos en la UE27_2020;0
Soria;Españoles;Nacidos en el resto de Europa;0
Soria;Españoles;Nacidos en África;18
Soria;Españoles;Nacidos en América;23
Soria;Españoles;Nacidos en Asia;1
Soria;Españoles;Nacidos en Oceanía;0
Soria;Extranjeros;Total;294
Soria;Extranjeros;Nacidos en España;12
Soria;Extranjeros;Nacidos en la UE27_2020;148
Soria;Extranjeros;Nacidos en el resto de Europa;17
Soria;Extranjeros;Nacidos en África;33
Soria;Extranjeros;Nacidos en América;66
Soria;Extranjeros;Nacidos en Asia;18
Soria;Extranjeros;Nacidos en Oceanía;0
Valladolid;Total;Total;1.144
Valladolid;Total;Nacidos en España;302
Valladolid;Total;Nacidos en la UE27_2020;311
Valladolid;Total;Nacidos en el resto de Europa;17
Valladolid;Total;Nacidos en África;107
Valladolid;Total;Nacidos en América;343
Valladolid;Total;Nacidos en Asia;63
Valladolid;Total;Nacidos en Oceanía;1
Valladolid;Españoles;Total;358
Valladolid;Españoles;Nacidos en España;270
Valladolid;Españoles;Nacidos en la UE27_2020;2
Valladolid;Españoles;Nacidos en el resto de Europa;5
Valladolid;Españoles;Nacidos en África;5
Valladolid;Españoles;Nacidos en América;74
Valladolid;Españoles;Nacidos en Asia;2
Valladolid;Españoles;Nacidos en Oceanía;0
Valladolid;Extranjeros;Total;786
Valladolid;Extranjeros;Nacidos en España;32
Valladolid;Extranjeros;Nacidos en la UE27_2020;309
Valladolid;Extranjeros;Nacidos en el resto de Europa;12
Valladolid;Extranjeros;Nacidos en África;102
Valladolid;Extranjeros;Nacidos en América;269
Valladolid;Extranjeros;Nacidos en Asia;61
Valladolid;Extranjeros;Nacidos en Oceanía;1
Zamora;Total;Total;351
Zamora;Total;Nacidos en España;87
Zamora;Total;Nacidos en la UE27_2020;157
Zamora;Total;Nacidos en el resto de Europa;10
Zamora;Total;Nacidos en África;23
Zamora;Total;Nacidos en América;66
Zamora;Total;Nacidos en Asia;8
Zamora;Total;Nacidos en Oceanía;0
Zamora;Españoles;Total;104
Zamora;Españoles;Nacidos en España;76
Zamora;Españoles;Nacidos en la UE27_2020;1
Zamora;Españoles;Nacidos en el resto de Europa;2
Zamora;Españoles;Nacidos en África;4
Zamora;Españoles;Nacidos en América;16
Zamora;Españoles;Nacidos en Asia;5
Zamora;Españoles;Nacidos en Oceanía;0
Zamora;Extranjeros;Total;247
Zamora;Extranjeros;Nacidos en España;11
Zamora;Extranjeros;Nacidos en la UE27_2020;156
Zamora;Extranjeros;Nacidos en el resto de Europa;8
Zamora;Extranjeros;Nacidos en África;19
Zamora;Extranjeros;Nacidos en América;50
Zamora;Extranjeros;Nacidos en Asia;3
Zamora;Extranjeros;Nacidos en Oceanía;0
CASTILLA-LA MANCHA;Total;Total;8.076
CASTILLA-LA MANCHA;Total;Nacidos en España;1.369
CASTILLA-LA MANCHA;Total;Nacidos en la UE27_2020;2.729
CASTILLA-LA MANCHA;Total;Nacidos en el resto de Europa;233
CASTILLA-LA MANCHA;Total;Nacidos en África;1.242
CASTILLA-LA MANCHA;Total;Nacidos en América;2.142
CASTILLA-LA MANCHA;Total;Nacidos en Asia;355
CASTILLA-LA MANCHA;Total;Nacidos en Oceanía;6
CASTILLA-LA MANCHA;Españoles;Total;1.628
CASTILLA-LA MANCHA;Españoles;Nacidos en España;1.045
CASTILLA-LA MANCHA;Españoles;Nacidos en la UE27_2020;25
CASTILLA-LA MANCHA;Españoles;Nacidos en el resto de Europa;18
CASTILLA-LA MANCHA;Españoles;Nacidos en África;158
CASTILLA-LA MANCHA;Españoles;Nacidos en América;351
CASTILLA-LA MANCHA;Españoles;Nacidos en Asia;28
CASTILLA-LA MANCHA;Españoles;Nacidos en Oceanía;3
CASTILLA-LA MANCHA;Extranjeros;Total;6.448
CASTILLA-LA MANCHA;Extranjeros;Nacidos en España;324
CASTILLA-LA MANCHA;Extranjeros;Nacidos en la UE27_2020;2.704
CASTILLA-LA MANCHA;Extranjeros;Nacidos en el resto de Europa;215
CASTILLA-LA MANCHA;Extranjeros;Nacidos en África;1.084
CASTILLA-LA MANCHA;Extranjeros;Nacidos en América;1.791
CASTILLA-LA MANCHA;Extranjeros;Nacidos en Asia;327
CASTILLA-LA MANCHA;Extranjeros;Nacidos en Oceanía;3
Albacete;Total;Total;1.236
Albacete;Total;Nacidos en España;214
Albacete;Total;Nacidos en la UE27_2020;272
Albacete;Total;Nacidos en el resto de Europa;36
Albacete;Total;Nacidos en África;327
Albacete;Total;Nacidos en América;347
Albacete;Total;Nacidos en Asia;40
Albacete;Total;Nacidos en Oceanía;0
Albacete;Españoles;Total;254
Albacete;Españoles;Nacidos en España;167
Albacete;Españoles;Nacidos en la UE27_2020;1
Albacete;Españoles;Nacidos en el resto de Europa;0
Albacete;Españoles;Nacidos en África;26
Albacete;Españoles;Nacidos en América;57
Albacete;Españoles;Nacidos en Asia;3
Albacete;Españoles;Nacidos en Oceanía;0
Albacete;Extranjeros;Total;982
Albacete;Extranjeros;Nacidos en España;47
Albacete;Extranjeros;Nacidos en la UE27_2020;271
Albacete;Extranjeros;Nacidos en el resto de Europa;36
Albacete;Extranjeros;Nacidos en África;301
Albacete;Extranjeros;Nacidos en América;290
Albacete;Extranjeros;Nacidos en Asia;37
Albacete;Extranjeros;Nacidos en Oceanía;0
Ciudad Real;Total;Total;1.591
Ciudad Real;Total;Nacidos en España;301
Ciudad Real;Total;Nacidos en la UE27_2020;714
Ciudad Real;Total;Nacidos en el resto de Europa;40
Ciudad Real;Total;Nacidos en África;142
Ciudad Real;Total;Nacidos en América;333
Ciudad Real;Total;Nacidos en Asia;61
Ciudad Real;Total;Nacidos en Oceanía;0
Ciudad Real;Españoles;Total;325
Ciudad Real;Españoles;Nacidos en España;235
Ciudad Real;Españoles;Nacidos en la UE27_2020;9
Ciudad Real;Españoles;Nacidos en el resto de Europa;2
Ciudad Real;Españoles;Nacidos en África;14
Ciudad Real;Españoles;Nacidos en América;61
Ciudad Real;Españoles;Nacidos en Asia;4
Ciudad Real;Españoles;Nacidos en Oceanía;0
Ciudad Real;Extranjeros;Total;1.266
Ciudad Real;Extranjeros;Nacidos en España;66
Ciudad Real;Extranjeros;Nacidos en la UE27_2020;705
Ciudad Real;Extranjeros;Nacidos en el resto de Europa;38
Ciudad Real;Extranjeros;Nacidos en África;128
Ciudad Real;Extranjeros;Nacidos en América;272
Ciudad Real;Extranjeros;Nacidos en Asia;57
Ciudad Real;Extranjeros;Nacidos en Oceanía;0
Cuenca;Total;Total;572
Cuenca;Total;Nacidos en España;90
Cuenca;Total;Nacidos en la UE27_2020;271
Cuenca;Total;Nacidos en el resto de Europa;29
Cuenca;Total;Nacidos en África;50
Cuenca;Total;Nacidos en América;113
Cuenca;Total;Nacidos en Asia;18
Cuenca;Total;Nacidos en Oceanía;1
Cuenca;Españoles;Total;114
Cuenca;Españoles;Nacidos en España;75
Cuenca;Españoles;Nacidos en la UE27_2020;0
Cuenca;Españoles;Nacidos en el resto de Europa;5
Cuenca;Españoles;Nacidos en África;5
Cuenca;Españoles;Nacidos en América;26
Cuenca;Españoles;Nacidos en Asia;3
Cuenca;Españoles;Nacidos en Oceanía;0
Cuenca;Extranjeros;Total;458
Cuenca;Extranjeros;Nacidos en España;15
Cuenca;Extranjeros;Nacidos en la UE27_2020;271
Cuenca;Extranjeros;Nacidos en el resto de Europa;24
Cuenca;Extranjeros;Nacidos en África;45
Cuenca;Extranjeros;Nacidos en América;87
Cuenca;Extranjeros;Nacidos en Asia;15
Cuenca;Extranjeros;Nacidos en Oceanía;1
Guadalajara;Total;Total;1.269
Guadalajara;Total;Nacidos en España;217
Guadalajara;Total;Nacidos en la UE27_2020;337
Guadalajara;Total;Nacidos en el resto de Europa;28
Guadalajara;Total;Nacidos en África;282
Guadalajara;Total;Nacidos en América;365
Guadalajara;Total;Nacidos en Asia;39
Guadalajara;Total;Nacidos en Oceanía;1
Guadalajara;Españoles;Total;283
Guadalajara;Españoles;Nacidos en España;162
Guadalajara;Españoles;Nacidos en la UE27_2020;7
Guadalajara;Españoles;Nacidos en el resto de Europa;0
Guadalajara;Españoles;Nacidos en África;36
Guadalajara;Españoles;Nacidos en América;75
Guadalajara;Españoles;Nacidos en Asia;2
Guadalajara;Españoles;Nacidos en Oceanía;1
Guadalajara;Extranjeros;Total;986
Guadalajara;Extranjeros;Nacidos en España;55
Guadalajara;Extranjeros;Nacidos en la UE27_2020;330
Guadalajara;Extranjeros;Nacidos en el resto de Europa;28
Guadalajara;Extranjeros;Nacidos en África;246
Guadalajara;Extranjeros;Nacidos en América;290
Guadalajara;Extranjeros;Nacidos en Asia;37
Guadalajara;Extranjeros;Nacidos en Oceanía;0
Toledo;Total;Total;3.408
Toledo;Total;Nacidos en España;547
Toledo;Total;Nacidos en la UE27_2020;1.135
Toledo;Total;Nacidos en el resto de Europa;100
Toledo;Total;Nacidos en África;441
Toledo;Total;Nacidos en América;984
Toledo;Total;Nacidos en Asia;197
Toledo;Total;Nacidos en Oceanía;4
Toledo;Españoles;Total;652
Toledo;Españoles;Nacidos en España;406
Toledo;Españoles;Nacidos en la UE27_2020;8
Toledo;Españoles;Nacidos en el resto de Europa;11
Toledo;Españoles;Nacidos en África;77
Toledo;Españoles;Nacidos en América;132
Toledo;Españoles;Nacidos en Asia;16
Toledo;Españoles;Nacidos en Oceanía;2
Toledo;Extranjeros;Total;2.756
Toledo;Extranjeros;Nacidos en España;141
Toledo;Extranjeros;Nacidos en la UE27_2020;1.127
Toledo;Extranjeros;Nacidos en el resto de Europa;89
Toledo;Extranjeros;Nacidos en África;364
Toledo;Extranjeros;Nacidos en América;852
Toledo;Extranjeros;Nacidos en Asia;181
Toledo;Extranjeros;Nacidos en Oceanía;2
CATALUÑA;Total;Total;62.236
CATALUÑA;Total;Nacidos en España;7.944
CATALUÑA;Total;Nacidos en la UE27_2020;13.583
CATALUÑA;Total;Nacidos en el resto de Europa;5.201
CATALUÑA;Total;Nacidos en África;11.418
CATALUÑA;Total;Nacidos en América;16.956
CATALUÑA;Total;Nacidos en Asia;7.029
CATALUÑA;Total;Nacidos en Oceanía;105
CATALUÑA;Españoles;Total;9.928
CATALUÑA;Españoles;Nacidos en España;6.033
CATALUÑA;Españoles;Nacidos en la UE27_2020;185
CATALUÑA;Españoles;Nacidos en el resto de Europa;139
CATALUÑA;Españoles;Nacidos en África;1.105
CATALUÑA;Españoles;Nacidos en América;1.963
CATALUÑA;Españoles;Nacidos en Asia;492
CATALUÑA;Españoles;Nacidos en Oceanía;11
CATALUÑA;Extranjeros;Total;52.308
CATALUÑA;Extranjeros;Nacidos en España;1.911
CATALUÑA;Extranjeros;Nacidos en la UE27_2020;13.398
CATALUÑA;Extranjeros;Nacidos en el resto de Europa;5.062
CATALUÑA;Extranjeros;Nacidos en África;10.313
CATALUÑA;Extranjeros;Nacidos en América;14.993
CATALUÑA;Extranjeros;Nacidos en Asia;6.537
CATALUÑA;Extranjeros;Nacidos en Oceanía;94
Barcelona;Total;Total;43.109
Barcelona;Total;Nacidos en España;5.563
Barcelona;Total;Nacidos en la UE27_2020;7.870
Barcelona;Total;Nacidos en el resto de Europa;2.953
Barcelona;Total;Nacidos en África;6.754
Barcelona;Total;Nacidos en América;13.771
Barcelona;Total;Nacidos en Asia;6.106
Barcelona;Total;Nacidos en Oceanía;92
Barcelona;Españoles;Total;7.176
Barcelona;Españoles;Nacidos en España;4.360
Barcelona;Españoles;Nacidos en la UE27_2020;129
Barcelona;Españoles;Nacidos en el resto de Europa;102
Barcelona;Españoles;Nacidos en África;598
Barcelona;Españoles;Nacidos en América;1.534
Barcelona;Españoles;Nacidos en Asia;442
Barcelona;Españoles;Nacidos en Oceanía;11
Barcelona;Extranjeros;Total;35.933
Barcelona;Extranjeros;Nacidos en España;1.203
Barcelona;Extranjeros;Nacidos en la UE27_2020;7.741
Barcelona;Extranjeros;Nacidos en el resto de Europa;2.851
Barcelona;Extranjeros;Nacidos en África;6.156
Barcelona;Extranjeros;Nacidos en América;12.237
Barcelona;Extranjeros;Nacidos en Asia;5.664
Barcelona;Extranjeros;Nacidos en Oceanía;81
Girona;Total;Total;8.745
Girona;Total;Nacidos en España;1.052
Girona;Total;Nacidos en la UE27_2020;2.115
Girona;Total;Nacidos en el resto de Europa;1.538
Girona;Total;Nacidos en África;2.172
Girona;Total;Nacidos en América;1.460
Girona;Total;Nacidos en Asia;400
Girona;Total;Nacidos en Oceanía;8
Girona;Españoles;Total;1.201
Girona;Españoles;Nacidos en España;721
Girona;Españoles;Nacidos en la UE27_2020;28
Girona;Españoles;Nacidos en el resto de Europa;13
Girona;Españoles;Nacidos en África;231
Girona;Españoles;Nacidos en América;183
Girona;Españoles;Nacidos en Asia;25
Girona;Españoles;Nacidos en Oceanía;0
Girona;Extranjeros;Total;7.544
Girona;Extranjeros;Nacidos en España;331
Girona;Extranjeros;Nacidos en la UE27_2020;2.087
Girona;Extranjeros;Nacidos en el resto de Europa;1.525
Girona;Extranjeros;Nacidos en África;1.941
Girona;Extranjeros;Nacidos en América;1.277
Girona;Extranjeros;Nacidos en Asia;375
Girona;Extranjeros;Nacidos en Oceanía;8
Lleida;Total;Total;4.332
Lleida;Total;Nacidos en España;498
Lleida;Total;Nacidos en la UE27_2020;1.984
Lleida;Total;Nacidos en el resto de Europa;172
Lleida;Total;Nacidos en África;1.055
Lleida;Total;Nacidos en América;516
Lleida;Total;Nacidos en Asia;106
Lleida;Total;Nacidos en Oceanía;1
Lleida;Españoles;Total;545
Lleida;Españoles;Nacidos en España;331
Lleida;Españoles;Nacidos en la UE27_2020;6
Lleida;Españoles;Nacidos en el resto de Europa;12
Lleida;Españoles;Nacidos en África;112
Lleida;Españoles;Nacidos en América;80
Lleida;Españoles;Nacidos en Asia;4
Lleida;Españoles;Nacidos en Oceanía;0
Lleida;Extranjeros;Total;3.787
Lleida;Extranjeros;Nacidos en España;167
Lleida;Extranjeros;Nacidos en la UE27_2020;1.978
Lleida;Extranjeros;Nacidos en el resto de Europa;160
Lleida;Extranjeros;Nacidos en África;943
Lleida;Extranjeros;Nacidos en América;436
Lleida;Extranjeros;Nacidos en Asia;102
Lleida;Extranjeros;Nacidos en Oceanía;1
Tarragona;Total;Total;6.050
Tarragona;Total;Nacidos en España;831
Tarragona;Total;Nacidos en la UE27_2020;1.614
Tarragona;Total;Nacidos en el resto de Europa;538
Tarragona;Total;Nacidos en África;1.437
Tarragona;Total;Nacidos en América;1.209
Tarragona;Total;Nacidos en Asia;417
Tarragona;Total;Nacidos en Oceanía;4
Tarragona;Españoles;Total;1.006
Tarragona;Españoles;Nacidos en España;621
Tarragona;Españoles;Nacidos en la UE27_2020;22
Tarragona;Españoles;Nacidos en el resto de Europa;12
Tarragona;Españoles;Nacidos en África;164
Tarragona;Españoles;Nacidos en América;166
Tarragona;Españoles;Nacidos en Asia;21
Tarragona;Españoles;Nacidos en Oceanía;0
Tarragona;Extranjeros;Total;5.044
Tarragona;Extranjeros;Nacidos en España;210
Tarragona;Extranjeros;Nacidos en la UE27_2020;1.592
Tarragona;Extranjeros;Nacidos en el resto de Europa;526
Tarragona;Extranjeros;Nacidos en África;1.273
Tarragona;Extranjeros;Nacidos en América;1.043
Tarragona;Extranjeros;Nacidos en Asia;396
Tarragona;Extranjeros;Nacidos en Oceanía;4
COMUNITAT VALENCIANA;Total;Total;39.257
COMUNITAT VALENCIANA;Total;Nacidos en España;4.602
COMUNITAT VALENCIANA;Total;Nacidos en la UE27_2020;11.481
COMUNITAT VALENCIANA;Total;Nacidos en el resto de Europa;8.544
COMUNITAT VALENCIANA;Total;Nacidos en África;5.592
COMUNITAT VALENCIANA;Total;Nacidos en América;6.753
COMUNITAT VALENCIANA;Total;Nacidos en Asia;2.237
COMUNITAT VALENCIANA;Total;Nacidos en Oceanía;48
COMUNITAT VALENCIANA;Españoles;Total;5.402
COMUNITAT VALENCIANA;Españoles;Nacidos en España;3.316
COMUNITAT VALENCIANA;Españoles;Nacidos en la UE27_2020;137
COMUNITAT VALENCIANA;Españoles;Nacidos en el resto de Europa;82
COMUNITAT VALENCIANA;Españoles;Nacidos en África;484
COMUNITAT VALENCIANA;Españoles;Nacidos en América;1.245
COMUNITAT VALENCIANA;Españoles;Nacidos en Asia;130
COMUNITAT VALENCIANA;Españoles;Nacidos en Oceanía;8
COMUNITAT VALENCIANA;Extranjeros;Total;33.855
COMUNITAT VALENCIANA;Extranjeros;Nacidos en España;1.286
COMUNITAT VALENCIANA;Extranjeros;Nacidos en la UE27_2020;11.344
COMUNITAT VALENCIANA;Extranjeros;Nacidos en el resto de Europa;8.462
COMUNITAT VALENCIANA;Extranjeros;Nacidos en África;5.108
COMUNITAT VALENCIANA;Extranjeros;Nacidos en América;5.508
COMUNITAT VALENCIANA;Extranjeros;Nacidos en Asia;2.107
COMUNITAT VALENCIANA;Extranjeros;Nacidos en Oceanía;40
Alicante/Alacant;Total;Total;21.322
Alicante/Alacant;Total;Nacidos en España;1.825
Alicante/Alacant;Total;Nacidos en la UE27_2020;5.224
Alicante/Alacant;Total;Nacidos en el resto de Europa;7.382
Alicante/Alacant;Total;Nacidos en África;3.025
Alicante/Alacant;Total;Nacidos en América;2.776
Alicante/Alacant;Total;Nacidos en Asia;1.059
Alicante/Alacant;Total;Nacidos en Oceanía;31
Alicante/Alacant;Españoles;Total;2.155
Alicante/Alacant;Españoles;Nacidos en España;1.267
Alicante/Alacant;Españoles;Nacidos en la UE27_2020;60
Alicante/Alacant;Españoles;Nacidos en el resto de Europa;31
Alicante/Alacant;Españoles;Nacidos en África;189
Alicante/Alacant;Españoles;Nacidos en América;551
