Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Alicante/Alacant;Españoles;Nacidos en Asia;54
Alicante/Alacant;Españoles;Nacidos en Oceanía;3
Alicante/Alacant;Extranjeros;Total;19.167
Alicante/Alacant;Extranjeros;Nacidos en España;558
Alicante/Alacant;Extranjeros;Nacidos en la UE27_2020;5.164
Alicante/Alacant;Extranjeros;Nacidos en el resto de Europa;7.351
Alicante/Alacant;Extranjeros;Nacidos en África;2.836
Alicante/Alacant;Extranjeros;Nacidos en América;2.225
Alicante/Alacant;Extranjeros;Nacidos en Asia;1.005
Alicante/Alacant;Extranjeros;Nacidos en Oceanía;28
Castellón/Castelló;Total;Total;4.657
Castellón/Castelló;Total;Nacidos en España;610
Castellón/Castelló;Total;Nacidos en la UE27_2020;1.988
Castellón/Castelló;Total;Nacidos en el resto de Europa;242
Castellón/Castelló;Total;Nacidos en África;823
Castellón/Castelló;Total;Nacidos en América;755
Castellón/Castelló;Total;Nacidos en Asia;237
Castellón/Castelló;Total;Nacidos en Oceanía;2
Castellón/Castelló;Españoles;Total;538
Castellón/Castelló;Españoles;Nacidos en España;351
Castellón/Castelló;Españoles;Nacidos en la UE27_2020;15
Castellón/Castelló;Españoles;Nacidos en el resto de Europa;8
Castellón/Castelló;Españoles;Nacidos en África;90
Castellón/Castelló;Españoles;Nacidos en América;62
Castellón/Castelló;Españoles;Nacidos en Asia;12
Castellón/Castelló;Españoles;Nacidos en Oceanía;0
Castellón/Castelló;Extranjeros;Total;4.119
Castellón/Castelló;Extranjeros;Nacidos en España;259
Castellón/Castelló;Extranjeros;Nacidos en la UE27_2020;1.973
Castellón/Castelló;Extranjeros;Nacidos en el resto de Europa;234
Castellón/Castelló;Extranjeros;Nacidos en África;733
Castellón/Castelló;Extranjeros;Nacidos en América;693
Castellón/Castelló;Extranjeros;Nacidos en Asia;225
Castellón/Castelló;Extranjeros;Nacidos en Oceanía;2
Valencia/València;Total;Total;13.278
Valencia/València;Total;Nacidos en España;2.167
Valencia/València;Total;Nacidos en la UE27_2020;4.269
Valencia/València;Total;Nacidos en el resto de Europa;920
Valencia/València;Total;Nacidos en África;1.744
Valencia/València;Total;Nacidos en América;3.222
Valencia/València;Total;Nacidos en Asia;941
Valencia/València;Total;Nacidos en Oceanía;15
Valencia/València;Españoles;Total;2.709
Valencia/València;Españoles;Nacidos en España;1.698
Valencia/València;Españoles;Nacidos en la UE27_2020;62
Valencia/València;Españoles;Nacidos en el resto de Europa;43
Valencia/València;Españoles;Nacidos en África;205
Valencia/València;Españoles;Nacidos en América;632
Valencia/València;Españoles;Nacidos en Asia;64
Valencia/València;Españoles;Nacidos en Oceanía;5
Valencia/València;Extranjeros;Total;10.569
Valencia/València;Extranjeros;Nacidos en España;469
Valencia/València;Extranjeros;Nacidos en la UE27_2020;4.207
Valencia/València;Extranjeros;Nacidos en el resto de Europa;877
Valencia/València;Extranjeros;Nacidos en África;1.539
Valencia/València;Extranjeros;Nacidos en América;2.590
Valencia/València;Extranjeros;Nacidos en Asia;877
Valencia/València;Extranjeros;Nacidos en Oceanía;10
EXTREMADURA;Total;Total;1.888
EXTREMADURA;Total;Nacidos en España;508
EXTREMADURA;Total;Nacidos en la UE27_2020;747
EXTREMADURA;Total;Nacidos en el resto de Europa;39
EXTREMADURA;Total;Nacidos en África;172
EXTREMADURA;Total;Nacidos en América;375
EXTREMADURA;Total;Nacidos en Asia;44
EXTREMADURA;Total;Nacidos en Oceanía;3
EXTREMADURA;Españoles;Total;554
EXTREMADURA;Españoles;Nacidos en España;426
EXTREMADURA;Españoles;Nacidos en la UE27_2020;16
EXTREMADURA;Españoles;Nacidos en el resto de Europa;2
EXTREMADURA;Españoles;Nacidos en África;39
EXTREMADURA;Españoles;Nacidos en América;67
EXTREMADURA;Españoles;Nacidos en Asia;4
EXTREMADURA;Españoles;Nacidos en Oceanía;0
EXTREMADURA;Extranjeros;Total;1.334
EXTREMADURA;Extranjeros;Nacidos en España;82
EXTREMADURA;Extranjeros;Nacidos en la UE27_2020;731
EXTREMADURA;Extranjeros;Nacidos en el resto de Europa;37
EXTREMADURA;Extranjeros;Nacidos en África;133
EXTREMADURA;Extranjeros;Nacidos en América;308
EXTREMADURA;Extranjeros;Nacidos en Asia;40
EXTREMADURA;Extranjeros;Nacidos en Oceanía;3
Badajoz;Total;Total;1.335
Badajoz;Total;Nacidos en España;293
Badajoz;Total;Nacidos en la UE27_2020;649
Badajoz;Total;Nacidos en el resto de Europa;32
Badajoz;Total;Nacidos en África;88
Badajoz;Total;Nacidos en América;238
Badajoz;Total;Nacidos en Asia;33
Badajoz;Total;Nacidos en Oceanía;2
Badajoz;Españoles;Total;292
Badajoz;Españoles;Nacidos en España;223
Badajoz;Españoles;Nacidos en la UE27_2020;9
Badajoz;Españoles;Nacidos en el resto de Europa;2
Badajoz;Españoles;Nacidos en África;15
Badajoz;Españoles;Nacidos en América;39
Badajoz;Españoles;Nacidos en Asia;4
Badajoz;Españoles;Nacidos en Oceanía;0
Badajoz;Extranjeros;Total;1.043
Badajoz;Extranjeros;Nacidos en España;70
Badajoz;Extranjeros;Nacidos en la UE27_2020;640
Badajoz;Extranjeros;Nacidos en el resto de Europa;30
Badajoz;Extranjeros;Nacidos en África;73
Badajoz;Extranjeros;Nacidos en América;199
Badajoz;Extranjeros;Nacidos en Asia;29
Badajoz;Extranjeros;Nacidos en Oceanía;2
Cáceres;Total;Total;553
Cáceres;Total;Nacidos en España;215
Cáceres;Total;Nacidos en la UE27_2020;98
Cáceres;Total;Nacidos en el resto de Europa;7
Cáceres;Total;Nacidos en África;84
Cáceres;Total;Nacidos en América;137
Cáceres;Total;Nacidos en Asia;11
Cáceres;Total;Nacidos en Oceanía;1
Cáceres;Españoles;Total;262
Cáceres;Españoles;Nacidos en España;203
Cáceres;Españoles;Nacidos en la UE27_2020;7
Cáceres;Españoles;Nacidos en el resto de Europa;0
Cáceres;Españoles;Nacidos en África;24
Cáceres;Españoles;Nacidos en América;28
Cáceres;Españoles;Nacidos en Asia;0
Cáceres;Españoles;Nacidos en Oceanía;0
Cáceres;Extranjeros;Total;291
Cáceres;Extranjeros;Nacidos en España;12
Cáceres;Extranjeros;Nacidos en la UE27_2020;91
Cáceres;Extranjeros;Nacidos en el resto de Europa;7
Cáceres;Extranjeros;Nacidos en África;60
Cáceres;Extranjeros;Nacidos en América;109
Cáceres;Extranjeros;Nacidos en Asia;11
Cáceres;Extranjeros;Nacidos en Oceanía;1
GALICIA;Total;Total;6.139
GALICIA;Total;Nacidos en España;1.904
GALICIA;Total;Nacidos en la UE27_2020;1.199
GALICIA;Total;Nacidos en el resto de Europa;242
GALICIA;Total;Nacidos en África;321
GALICIA;Total;Nacidos en América;2.295
GALICIA;Total;Nacidos en Asia;168
GALICIA;Total;Nacidos en Oceanía;10
GALICIA;Españoles;Total;2.823
GALICIA;Españoles;Nacidos en España;1.840
GALICIA;Españoles;Nacidos en la UE27_2020;59
GALICIA;Españoles;Nacidos en el resto de Europa;105
GALICIA;Españoles;Nacidos en África;50
GALICIA;Españoles;Nacidos en América;732
GALICIA;Españoles;Nacidos en Asia;34
GALICIA;Españoles;Nacidos en Oceanía;3
GALICIA;Extranjeros;Total;3.316
GALICIA;Extranjeros;Nacidos en España;64
GALICIA;Extranjeros;Nacidos en la UE27_2020;1.140
GALICIA;Extranjeros;Nacidos en el resto de Europa;137
GALICIA;Extranjeros;Nacidos en África;271
GALICIA;Extranjeros;Nacidos en América;1.563
GALICIA;Extranjeros;Nacidos en Asia;134
GALICIA;Extranjeros;Nacidos en Oceanía;7
Coruña, A;Total;Total;2.849
Coruña, A;Total;Nacidos en España;864
Coruña, A;Total;Nacidos en la UE27_2020;401
Coruña, A;Total;Nacidos en el resto de Europa;152
Coruña, A;Total;Nacidos en África;178
Coruña, A;Total;Nacidos en América;1.127
Coruña, A;Total;Nacidos en Asia;123
Coruña, A;Total;Nacidos en Oceanía;4
Coruña, A;Españoles;Total;1.232
Coruña, A;Españoles;Nacidos en España;833
Coruña, A;Españoles;Nacidos en la UE27_2020;20
Coruña, A;Españoles;Nacidos en el resto de Europa;56
Coruña, A;Españoles;Nacidos en África;21
Coruña, A;Españoles;Nacidos en América;284
Coruña, A;Españoles;Nacidos en Asia;16
Coruña, A;Españoles;Nacidos en Oceanía;2
Coruña, A;Extranjeros;Total;1.617
Coruña, A;Extranjeros;Nacidos en España;31
Coruña, A;Extranjeros;Nacidos en la UE27_2020;381
Coruña, A;Extranjeros;Nacidos en el resto de Europa;96
Coruña, A;Extranjeros;Nacidos en África;157
Coruña, A;Extranjeros;Nacidos en América;843
Coruña, A;Extranjeros;Nacidos en Asia;107
Coruña, A;Extranjeros;Nacidos en Oceanía;2
Lugo;Total;Total;668
Lugo;Total;Nacidos en España;154
Lugo;Total;Nacidos en la UE27_2020;180
Lugo;Total;Nacidos en el resto de Europa;20
Lugo;Total;Nacidos en África;49
Lugo;Total;Nacidos en América;253
Lugo;Total;Nacidos en Asia;12
Lugo;Total;Nacidos en Oceanía;0
Lugo;Españoles;Total;238
Lugo;Españoles;Nacidos en España;141
Lugo;Españoles;Nacidos en la UE27_2020;3
Lugo;Españoles;Nacidos en el resto de Europa;7
Lugo;Españoles;Nacidos en África;5
Lugo;Españoles;Nacidos en América;81
Lugo;Españoles;Nacidos en Asia;1
Lugo;Españoles;Nacidos en Oceanía;0
Lugo;Extranjeros;Total;430
Lugo;Extranjeros;Nacidos en España;13
Lugo;Extranjeros;Nacidos en la UE27_2020;177
Lugo;Extranjeros;Nacidos en el resto de Europa;13
Lugo;Extranjeros;Nacidos en África;44
Lugo;Extranjeros;Nacidos en América;172
Lugo;Extranjeros;Nacidos en Asia;11
Lugo;Extranjeros;Nacidos en Oceanía;0
Ourense;Total;Total;726
Ourense;Total;Nacidos en España;221
Ourense;Total;Nacidos en la UE27_2020;209
Ourense;Total;Nacidos en el resto de Europa;22
Ourense;Total;Nacidos en África;19
Ourense;Total;Nacidos en América;247
Ourense;Total;Nacidos en Asia;7
Ourense;Total;Nacidos en Oceanía;1
Ourense;Españoles;Total;370
Ourense;Españoles;Nacidos en España;214
Ourense;Españoles;Nacidos en la UE27_2020;9
Ourense;Españoles;Nacidos en el resto de Europa;10
Ourense;Españoles;Nacidos en África;6
Ourense;Españoles;Nacidos en América;127
Ourense;Españoles;Nacidos en Asia;3
Ourense;Españoles;Nacidos en Oceanía;1
Ourense;Extranjeros;Total;356
Ourense;Extranjeros;Nacidos en España;7
Ourense;Extranjeros;Nacidos en la UE27_2020;200
Ourense;Extranjeros;Nacidos en el resto de Europa;12
Ourense;Extranjeros;Nacidos en África;13
Ourense;Extranjeros;Nacidos en América;120
Ourense;Extranjeros;Nacidos en Asia;4
Ourense;Extranjeros;Nacidos en Oceanía;0
Pontevedra;Total;Total;1.896
Pontevedra;Total;Nacidos en España;665
Pontevedra;Total;Nacidos en la UE27_2020;409
Pontevedra;Total;Nacidos en el resto de Europa;48
Pontevedra;Total;Nacidos en África;75
Pontevedra;Total;Nacidos en América;668
Pontevedra;Total;Nacidos en Asia;26
Pontevedra;Total;Nacidos en Oceanía;5
Pontevedra;Españoles;Total;983
Pontevedra;Españoles;Nacidos en España;652
Pontevedra;Españoles;Nacidos en la UE27_2020;27
Pontevedra;Españoles;Nacidos en el resto de Europa;32
Pontevedra;Españoles;Nacidos en África;18
Pontevedra;Españoles;Nacidos en América;240
Pontevedra;Españoles;Nacidos en Asia;14
Pontevedra;Españoles;Nacidos en Oceanía;0
Pontevedra;Extranjeros;Total;913
Pontevedra;Extranjeros;Nacidos en España;13
Pontevedra;Extranjeros;Nacidos en la UE27_2020;382
Pontevedra;Extranjeros;Nacidos en el resto de Europa;16
Pontevedra;Extranjeros;Nacidos en África;57
Pontevedra;Extranjeros;Nacidos en América;428
Pontevedra;Extranjeros;Nacidos en Asia;12
Pontevedra;Extranjeros;Nacidos en Oceanía;5
MADRID, COMUNIDAD DE;Total;Total;46.778
MADRID, COMUNIDAD DE;Total;Nacidos en España;8.540
MADRID, COMUNIDAD DE;Total;Nacidos en la UE27_2020;8.862
MADRID, COMUNIDAD DE;Total;Nacidos en el resto de Europa;1.626
MADRID, COMUNIDAD DE;Total;Nacidos en África;3.979
MADRID, COMUNIDAD DE;Total;Nacidos en América;19.003
MADRID, COMUNIDAD DE;Total;Nacidos en Asia;4.696
MADRID, COMUNIDAD DE;Total;Nacidos en Oceanía;72
MADRID, COMUNIDAD DE;Españoles;Total;10.995
MADRID, COMUNIDAD DE;Españoles;Nacidos en España;6.864
MADRID, COMUNIDAD DE;Españoles;Nacidos en la UE27_2020;183
MADRID, COMUNIDAD DE;Españoles;Nacidos en el resto de Europa;105
MADRID, COMUNIDAD DE;Españoles;Nacidos en África;441
MADRID, COMUNIDAD DE;Españoles;Nacidos en América;3.139
MADRID, COMUNIDAD DE;Españoles;Nacidos en Asia;260
MADRID, COMUNIDAD DE;Españoles;Nacidos en Oceanía;3
MADRID, COMUNIDAD DE;Extranjeros;Total;35.783
MADRID, COMUNIDAD DE;Extranjeros;Nacidos en España;1.676
MADRID, COMUNIDAD DE;Extranjeros;Nacidos en la UE27_2020;8.679
MADRID, COMUNIDAD DE;Extranjeros;Nacidos en el resto de Europa;1.521
MADRID, COMUNIDAD DE;Extranjeros;Nacidos en África;3.538
MADRID, COMUNIDAD DE;Extranjeros;Nacidos en América;15.864
MADRID, COMUNIDAD DE;Extranjeros;Nacidos en Asia;4.436
MADRID, COMUNIDAD DE;Extranjeros;Nacidos en Oceanía;69
MURCIA, REGIÓN DE;Total;Total;11.986
MURCIA, REGIÓN DE;Total;Nacidos en España;1.282
MURCIA, REGIÓN DE;Total;Nacidos en la UE27_2020;3.171
MURCIA, REGIÓN DE;Total;Nacidos en el resto de Europa;1.295
MURCIA, REGIÓN DE;Total;Nacidos en África;3.330
MURCIA, REGIÓN DE;Total;Nacidos en América;2.540
MURCIA, REGIÓN DE;Total;Nacidos en Asia;361
MURCIA, REGIÓN DE;Total;Nacidos en Oceanía;7
MURCIA, REGIÓN DE;Españoles;Total;1.412
MURCIA, REGIÓN DE;Españoles;Nacidos en España;851
MURCIA, REGIÓN DE;Españoles;Nacidos en la UE27_2020;36
MURCIA, REGIÓN DE;Españoles;Nacidos en el resto de Europa;13
MURCIA, REGIÓN DE;Españoles;Nacidos en África;190
MURCIA, REGIÓN DE;Españoles;Nacidos en América;308
MURCIA, REGIÓN DE;Españoles;Nacidos en Asia;14
MURCIA, REGIÓN DE;Españoles;Nacidos en Oceanía;0
MURCIA, REGIÓN DE;Extranjeros;Total;10.574
MURCIA, REGIÓN DE;Extranjeros;Nacidos en España;431
MURCIA, REGIÓN DE;Extranjeros;Nacidos en la UE27_2020;3.135
MURCIA, REGIÓN DE;Extranjeros;Nacidos en el resto de Europa;1.282
MURCIA, REGIÓN DE;Extranjeros;Nacidos en África;3.140
MURCIA, REGIÓN DE;Extranjeros;Nacidos en América;2.232
MURCIA, REGIÓN DE;Extranjeros;Nacidos en Asia;347
MURCIA, REGIÓN DE;Extranjeros;Nacidos en Oceanía;7
NAVARRA, COMUNIDAD FORAL DE;Total;Total;4.457
NAVARRA, COMUNIDAD FORAL DE;Total;Nacidos en España;537
NAVARRA, COMUNIDAD FORAL DE;Total;Nacidos en la UE27_2020;1.168
NAVARRA, COMUNIDAD FORAL DE;Total;Nacidos en el resto de Europa;208
NAVARRA, COMUNIDAD FORAL DE;Total;Nacidos en África;867
NAVARRA, COMUNIDAD FORAL DE;Total;Nacidos en América;1.524
NAVARRA, COMUNIDAD FORAL DE;Total;Nacidos en Asia;149
NAVARRA, COMUNIDAD FORAL DE;Total;Nacidos en Oceanía;4
NAVARRA, COMUNIDAD FORAL DE;Españoles;Total;761
NAVARRA, COMUNIDAD FORAL DE;Españoles;Nacidos en España;412
NAVARRA, COMUNIDAD FORAL DE;Españoles;Nacidos en la UE27_2020;15
NAVARRA, COMUNIDAD FORAL DE;Españoles;Nacidos en el resto de Europa;13
NAVARRA, COMUNIDAD FORAL DE;Españoles;Nacidos en África;98
NAVARRA, COMUNIDAD FORAL DE;Españoles;Nacidos en América;217
NAVARRA, COMUNIDAD FORAL DE;Españoles;Nacidos en Asia;6
NAVARRA, COMUNIDAD FORAL DE;Españoles;Nacidos en Oceanía;0
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Total;3.696
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Nacidos en España;125
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Nacidos en la UE27_2020;1.153
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Nacidos en el resto de Europa;195
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Nacidos en África;769
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Nacidos en América;1.307
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Nacidos en Asia;143
NAVARRA, COMUNIDAD FORAL DE;Extranjeros;Nacidos en Oceanía;4
PAÍS VASCO;Total;Total;10.434
PAÍS VASCO;Total;Nacidos en España;1.810
PAÍS VASCO;Total;Nacidos en la UE27_2020;1.838
PAÍS VASCO;Total;Nacidos en el resto de Europa;454
PAÍS VASCO;Total;Nacidos en África;2.187
PAÍS VASCO;Total;Nacidos en América;3.476
PAÍS VASCO;Total;Nacidos en Asia;657
PAÍS VASCO;Total;Nacidos en Oceanía;12
PAÍS VASCO;Españoles;Total;1.962
PAÍS VASCO;Españoles;Nacidos en España;1.466
PAÍS VASCO;Españoles;Nacidos en la UE27_2020;33
PAÍS VASCO;Españoles;Nacidos en el resto de Europa;18
PAÍS VASCO;Españoles;Nacidos en África;163
PAÍS VASCO;Españoles;Nacidos en América;227
PAÍS VASCO;Españoles;Nacidos en Asia;55
PAÍS VASCO;Españoles;Nacidos en Oceanía;0
PAÍS VASCO;Extranjeros;Total;8.472
PAÍS VASCO;Extranjeros;Nacidos en España;344
PAÍS VASCO;Extranjeros;Nacidos en la UE27_2020;1.805
PAÍS VASCO;Extranjeros;Nacidos en el resto de Europa;436
PAÍS VASCO;Extranjeros;Nacidos en África;2.024
PAÍS VASCO;Extranjeros;Nacidos en América;3.249
PAÍS VASCO;Extranjeros;Nacidos en Asia;602
PAÍS VASCO;Extranjeros;Nacidos en Oceanía;12
Araba/Álava;Total;Total;1.960
Araba/Álava;Total;Nacidos en España;318
Araba/Álava;Total;Nacidos en la UE27_2020;236
Araba/Álava;Total;Nacidos en el resto de Europa;90
Araba/Álava;Total;Nacidos en África;624
Araba/Álava;Total;Nacidos en América;582
Araba/Álava;Total;Nacidos en Asia;109
Araba/Álava;Total;Nacidos en Oceanía;1
Araba/Álava;Españoles;Total;308
Araba/Álava;Españoles;Nacidos en España;210
Araba/Álava;Españoles;Nacidos en la UE27_2020;5
Araba/Álava;Españoles;Nacidos en el resto de Europa;2
Araba/Álava;Españoles;Nacidos en África;49
Araba/Álava;Españoles;Nacidos en América;37
Araba/Álava;Españoles;Nacidos en Asia;5
Araba/Álava;Españoles;Nacidos en Oceanía;0
Araba/Álava;Extranjeros;Total;1.652
Araba/Álava;Extranjeros;Nacidos en España;108
Araba/Álava;Extranjeros;Nacidos en la UE27_2020;231
Araba/Álava;Extranjeros;Nacidos en el resto de Europa;88
Araba/Álava;Extranjeros;Nacidos en África;575
Araba/Álava;Extranjeros;Nacidos en América;545
Araba/Álava;Extranjeros;Nacidos en Asia;104
Araba/Álava;Extranjeros;Nacidos en Oceanía;1
Bizkaia;Total;Total;4.772
Bizkaia;Total;Nacidos en España;764
Bizkaia;Total;Nacidos en la UE27_2020;870
Bizkaia;Total;Nacidos en el resto de Europa;154
Bizkaia;Total;Nacidos en África;914
Bizkaia;Total;Nacidos en América;1.758
Bizkaia;Total;Nacidos en Asia;306
Bizkaia;Total;Nacidos en Oceanía;6
Bizkaia;Españoles;Total;848
Bizkaia;Españoles;Nacidos en España;637
Bizkaia;Españoles;Nacidos en la UE27_2020;10
Bizkaia;Españoles;Nacidos en el resto de Europa;12
Bizkaia;Españoles;Nacidos en África;60
Bizkaia;Españoles;Nacidos en América;105
Bizkaia;Españoles;Nacidos en Asia;24
Bizkaia;Españoles;Nacidos en Oceanía;0
Bizkaia;Extranjeros;Total;3.924
Bizkaia;Extranjeros;Nacidos en España;127
Bizkaia;Extranjeros;Nacidos en la UE27_2020;860
Bizkaia;Extranjeros;Nacidos en el resto de Europa;142
Bizkaia;Extranjeros;Nacidos en África;854
Bizkaia;Extranjeros;Nacidos en América;1.653
Bizkaia;Extranjeros;Nacidos en Asia;282
Bizkaia;Extranjeros;Nacidos en Oceanía;6
Gipuzkoa;Total;Total;3.702
Gipuzkoa;Total;Nacidos en España;728
Gipuzkoa;Total;Nacidos en la UE27_2020;732
Gipuzkoa;Total;Nacidos en el resto de Europa;210
Gipuzkoa;Total;Nacidos en África;649
Gipuzkoa;Total;Nacidos en América;1.136
Gipuzkoa;Total;Nacidos en Asia;242
Gipuzkoa;Total;Nacidos en Oceanía;5
Gipuzkoa;Españoles;Total;806
Gipuzkoa;Españoles;Nacidos en España;619
Gipuzkoa;Españoles;Nacidos en la UE27_2020;18
Gipuzkoa;Españoles;Nacidos en el resto de Europa;4
Gipuzkoa;Españoles;Nacidos en África;54
Gipuzkoa;Españoles;Nacidos en América;85
Gipuzkoa;Españoles;Nacidos en Asia;26
Gipuzkoa;Españoles;Nacidos en Oceanía;0
Gipuzkoa;Extranjeros;Total;2.896
Gipuzkoa;Extranjeros;Nacidos en España;109
Gipuzkoa;Extranjeros;Nacidos en la UE27_2020;714
Gipuzkoa;Extranjeros;Nacidos en el resto de Europa;206
Gipuzkoa;Extranjeros;Nacidos en África;595
Gipuzkoa;Extranjeros;Nacidos en América;1.051
Gipuzkoa;Extranjeros;Nacidos en Asia;216
Gipuzkoa;Extranjeros;Nacidos en Oceanía;5
RIOJA, LA;Total;Total;1.695
RIOJA, LA;Total;Nacidos en España;269
RIOJA, LA;Total;Nacidos en la UE27_2020;633
RIOJA, LA;Total;Nacidos en el resto de Europa;82
RIOJA, LA;Total;Nacidos en África;226
RIOJA, LA;Total;Nacidos en América;371
RIOJA, LA;Total;Nacidos en Asia;111
RIOJA, LA;Total;Nacidos en Oceanía;3
RIOJA, LA;Españoles;Total;343
RIOJA, LA;Españoles;Nacidos en España;191
RIOJA, LA;Españoles;Nacidos en la UE27_2020;5
RIOJA, LA;Españoles;Nacidos en el resto de Europa;5
RIOJA, LA;Españoles;Nacidos en África;42
RIOJA, LA;Españoles;Nacidos en América;54
RIOJA, LA;Españoles;Nacidos en Asia;46
RIOJA, LA;Españoles;Nacidos en Oceanía;0
RIOJA, LA;Extranjeros;Total;1.352
RIOJA, LA;Extranjeros;Nacidos en España;78
RIOJA, LA;Extranjeros;Nacidos en la UE27_2020;628
RIOJA, LA;Extranjeros;Nacidos en el resto de Europa;77
RIOJA, LA;Extranjeros;Nacidos en África;184
RIOJA, LA;Extranjeros;Nacidos en América;317
RIOJA, LA;Extranjeros;Nacidos en Asia;65
RIOJA, LA;Extranjeros;Nacidos en Oceanía;3
Ceuta;Total;Total;235
Ceuta;Total;Nacidos en España;143
Ceuta;Total;Nacidos en la UE27_2020;2
Ceuta;Total;Nacidos en el resto de Europa;1
Ceuta;Total;Nacidos en África;79
Ceuta;Total;Nacidos en América;9
Ceuta;Total;Nacidos en Asia;1
Ceuta;Total;Nacidos en Oceanía;0
Ceuta;Españoles;Total;156
Ceuta;Españoles;Nacidos en España;129
Ceuta;Españoles;Nacidos en la UE27_2020;2
Ceuta;Españoles;Nacidos en el resto de Europa;0
Ceuta;Españoles;Nacidos en África;24
Ceuta;Españoles;Nacidos en América;1
Ceuta;Españoles;Nacidos en Asia;0
Ceuta;Españoles;Nacidos en Oceanía;0
Ceuta;Extranjeros;Total;79
Ceuta;Extranjeros;Nacidos en España;14
Ceuta;Extranjeros;Nacidos en la UE27_2020;0
Ceuta;Extranjeros;Nacidos en el resto de Europa;1
Ceuta;Extranjeros;Nacidos en África;55
Ceuta;Extranjeros;Nacidos en América;8
Ceuta;Extranjeros;Nacidos en Asia;1
Ceuta;Extranjeros;Nacidos en Oceanía;0
Melilla;Total;Total;631
Melilla;Total;Nacidos en España;215
Melilla;Total;Nacidos en la UE27_2020;32
Melilla;Total;Nacidos en el resto de Europa;12
Melilla;Total;Nacidos en África;356
Melilla;Total;Nacidos en América;14
Melilla;Total;Nacidos en Asia;2
Melilla;Total;Nacidos en Oceanía;0
Melilla;Españoles;Total;215
Melilla;Españoles;Nacidos en España;157
Melilla;Españoles;Nacidos en la UE27_2020;10
Melilla;Españoles;Nacidos en el resto de Europa;2
Melilla;Españoles;Nacidos en África;39
Melilla;Españoles;Nacidos en América;5
Melilla;Españoles;Nacidos en Asia;2
Melilla;Españoles;Nacidos en Oceanía;0
Melilla;Extranjeros;Total;416
Melilla;Extranjeros;Nacidos en España;58
Melilla;Extranjeros;Nacidos en la UE27_2020;22
Melilla;Extranjeros;Nacidos en el resto de Europa;10
Melilla;Extranjeros;Nacidos en África;317
Melilla;Extranjeros;Nacidos en América;9
Melilla;Extranjeros;Nacidos en Asia;0
Melilla;Extranjeros;Nacidos en Oceanía;0
